episode,Arco,name,year,total_votes,average_rating
811,WholeCake,Koko de Matsu: Luffy tai Ikari no Gundan,09/08/2014,106,8.5
812,WholeCake,Chateau Sennyuu: Ubae! Road Ponegliff,16/08/2014,106,8.5
813,WholeCake,Innnen no Taimen: Luffy to Big Mom!,23/08/2014,93,8.2
814,WholeCake,Tamashii no Sakebi: Brook &amp,30/08/2014,97,8.3
815,WholeCake,Sayonara: Purin Namida no Ketsui,06/09/2014,104,8.5
816,WholeCake,Hidari Me no Innen: Pedro tai Tamago-Danshaku,13/09/2014,109,8.6
817,WholeCake,Shikemoku: Sanji no Kekkon Zen'ya,20/09/2014,242,9.2
818,WholeCake,Fukutsu no Soul: Brook tai Big Mom,27/09/2014,113,8.6
819,WholeCake,Sora no Negai: Germa no Shippaisaku Sanji,04/10/2014,111,8.5
820,WholeCake,Sanji no Moto e: Luffy Gyakushuu no Dai Gekisou!,11/10/2014,115,8.6
821,WholeCake,Chateau Douran: Luffy Yakusoku no Basho e,18/10/2014,100,8.2
822,WholeCake,Wakare no Ketsui: Sanji to Mugiwara Bentou,25/10/2014,91,7.6
823,WholeCake,Yonkou no Negaeri: Brook Kyuushutsu Daisakusen!,01/11/2014,99,7.6
824,WholeCake,The Rendezvous! Luffy a One-on-One at His Limit!,08/11/2014,102,8.1
825,WholeCake,A Liar! Luffy and Sanji!!,15/11/2014,117,8.6
826,WholeCake,Sanji Comes Back! Crash! The Tea Party from Hell!,22/11/2014,96,8.1
827,WholeCake,A Secret Meeting! Luffy vs. the Fire Tank Pirates!,29/11/2014,94,7.6
828,WholeCake,The Deadly Pact! Luffy and Bege,06/12/2014,86,7.4
829,WholeCake,Luffy Engages in a Secret Maneuver! The Wedding Full of Consp...,13/12/2014,84,7.7
830,WholeCake,The Family Gets Together! The Hellish Tea Party Starts!,20/12/2014,96,8.2
831,WholeCake,The Broken Couple! Sanji and Pudding Enter!,27/12/2014,85,7.6
832,WholeCake,A Deadly Kiss! The Mission to Assassinate the Emperor Kicks Off!,03/01/2015,103,8.6
833,WholeCake,Returning the Sake Cup! The Manly Jimbei Pays His Debt!,10/01/2015,194,9.1
834,WholeCake,The Mission Failed?! The Big Mom Pirates Strike Back!,17/01/2015,88,8.3
835,WholeCake,Run Sanji! SOS! Germa 66!,24/01/2015,87,8.3
836,WholeCake,Mom's Secret! The Giant's Island Elbaph and a Little Monster!,31/01/2015,77,7.5
837,WholeCake,The Birth of Mom! The Day That Carmel Vanished!,07/02/2015,84,8.1
838,WholeCake,The Launcher Blasts! The Moment of Big Mom's Assassination!,14/02/2015,83,7.7
839,WholeCake,The Evil Army! Transform! Germa 66!,21/02/2015,82,7.6
840,WholeCake,Cutting the Father-Son Relationship! Sanji and Judge!,28/02/2015,83,7.4
841,WholeCake,Escape From the Tea Party! Luffy vs. Big Mom!,07/03/2015,82,8.0
842,WholeCake,The Execution Begins! Luffy's Allied Forces Are Annihilated?! ,14/03/2015,71,7.8
843,WholeCake,The Chateau Collapses! The Straw Hat's Great Escape Begins!,21/03/2015,70,7.5
844,WholeCake,The Spear of Elbaph! Onslaught! The Flying Big Mom!,28/03/2015,77,7.2
845,WholeCake,Pudding's Determination! Ablaze! The Seducing Woods!,04/04/2015,76,7.6
846,WholeCake,A Lightning Counterattack! Nami and Zeus the Thundercloud!,11/04/2015,76,7.6
847,WholeCake,A Coincidental Reunion! Sanji and the Lovestruck Evil Pudding!,18/04/2015,78,7.6
848,WholeCake,Save the Sunny! Fighting Bravely! Chopper and Brook!,25/04/2015,79,7.4
849,WholeCake,Before the Dawn! Pedro the Captain of the Guardians!,02/05/2015,138,8.8
850,WholeCake,I'll Be Back! Luffy Deadly Departure!,09/05/2015,148,8.9
851,WholeCake,The Man with a Bounty of Billion! The Strongest Sweet General...,16/05/2015,91,8.2
852,WholeCake,A Hard Battle Starts! Luffy vs. Katakuri!,23/05/2015,94,8.3
853,WholeCake,The Green Room! An Invincible Helmsman Jimbei!,30/05/2015,86,7.7
854,WholeCake,The Threat of the Mole! Luffy's Silent Fight!,06/06/2015,90,8.1
855,WholeCake,The End of the Deadly Battle?! Katakuri's Awakening in Anger!,13/06/2015,87,7.9
856,WholeCake,The Forbidden Secret! Katakuri's Merienda!,20/06/2015,168,8.9
856,WholeCake,Luffy Fights Back! The Invincible Katakuri's Weak Point!,27/06/2015,90,8.0
858,WholeCake,Another Crisis! Gear Four vs. Unstoppable Donuts!,04/07/2015,84,7.5
859,WholeCake,The Rebellious Daughter Chiffon! Sanji's Big Plan for Transp...,11/07/2015,79,7.2
860,WholeCake,The Cake Sank?! Sanji and Bege's Getaway Battle!,18/07/2015,81,7.5
861,WholeCake,The Cake Sank?! Sanji and Bege's Getaway Battle!,25/07/2015,77,7.3
862,WholeCake,Sulong! Carrot's Big Mystic Transformation!,01/08/2015,114,8.5
863,WholeCake,Break Through! The Straw Hat's Mighty Sea Battle!,08/08/2015,81,7.5
864,WholeCake,Finally Clash - Yonko VS Straw Hat Crew,15/08/2015,87,7.7
865,WholeCake,Dark King's Direct Precepts! The Battle Against Katakuri Turn...,22/08/2015,85,7.8
866,WholeCake,Finally He Returns! Sanji the Man Who'll Stop the Emperor of...,29/08/2015,84,7.4
867,WholeCake,Lurking in the Darkness! An Assassin Targeting Luffy!,05/09/2015,105,8.1
868,WholeCake,One Man's Determination! Katakuri's Deadly Big Fight!,12/09/2015,252,9.1
869,WholeCake,Wake Up! The Color of Observation Able to Top the Strongest!,19/09/2015,135,8.8
870,WholeCake,A Fist of Divine Speed! Another Gear Four Application Activated!,26/09/2015,683,9.5
871,WholeCake,Finally Concluded - An Outcome of the Fierce Battle with Kata...,03/10/2015,148,8.9
872,WholeCake,A Desperate Situation! The Iron-Tight Entrapment of Luffy!,10/10/2015,92,8.1
873,WholeCake,Pulling Back from the Brink! The Formidable Reinforcements - ...,17/10/2015,91,8.3
874,WholeCake,The Last Hope! The Sun Pirates Emerge!,24/10/2015,83,7.9
875,WholeCake,A Fascinating Taste - Sanji's Cake of Happiness,31/10/2015,96,8.0
876,WholeCake,The Man of Humanity and Justice - Jinbe a Desperate Massive ...,07/11/2015,94,8.3
877,WholeCake,Time for Farewell! Pudding's One Last Request!,14/11/2015,235,9.1
878,Reverie,The World in Shock! The Fifth Emperor of the Sea Arrives!,21/11/2015,114,7.8
879,Reverie,To the Levely! Gathering of the Straw Hat Allies!,28/11/2015,95,7.2
880,Reverie,Sabo Goes into Action! All the Captains of the Revolutionary ...,05/12/2015,98,7.6
881,Reverie,Going into Action! The Implacable New Admiral of the Fleet - ...,12/12/2015,120,5.6
882,Reverie,The Paramount War! The Inherited Will of the King of the Pira...,19/12/2015,113,6.0
883,Reverie,One Step Ahead of the Dream - Shirahoshi's Path to the Sun!,26/12/2015,106,6.2
884,Reverie,I Miss Him! Vivi and Rebecca's Sentiments!,02/01/2016,107,6.3
885,Reverie,In the Dark Recesses of the Holyland! A Mysterious Giant Stra...,09/01/2016,114,7.0
886,Reverie,The Uproarious Holy Land - Princess Shirahoshi is being targe...,16/01/2016,118,6.8
887,Reverie,On the Verge - The Two Yonko Targeting Luffy,23/01/2016,144,8.1
888,Reverie,Sabo Gets Angry - Tragedy of the Revolutionary Army Officer Kuma,30/01/2016,121,7.8
889,Reverie,Defeat is Inevitable - The Strawman's Fierce Attack!,06/02/2016,110,7.4
890,Wano,Marco! The Keeper of Whitebeard's Last Memento!,13/02/2016,94,7.2
891,Wano,Climbing Up a Waterfall! A Great Journey Through the Land of ...,20/02/2016,161,8.5
892,Wano,Wano Country! To the Land of Dancing Sakura and Samurai,27/02/2016,340,9.2
893,Wano,Otama Appears! Luffy vs. Kaido's Army!,05/03/2016,171,8.8
894,Wano,He'll Come! The Legend of Ace in the Land of Wano!,12/03/2016,172,8.8
895,Wano,Side Story! The World's Greatest Bounty Hunter Cidre!,19/03/2016,96,6.2
896,Wano,Side Story! Clash! Luffy vs. the King of Carbonation!,26/03/2016,91,6.0
897,Wano,Save Otama! Straw Hat Bounding through the Wasteland!,02/04/2016,145,8.5
898,Wano,The Headliner! Hawkings the Magician Appears!,09/04/2016,134,8.4
899,Wano,Defeat is Inevitable! The Strawman's Fierce Attack!,16/04/2016,185,8.9
900,Wano,The Greatest Day of My Life! Otama and Her Sweet Red-bean Soup!,23/04/2016,121,8.4
901,Wano,Entering Enemy Territory! The Protagonists Spread into the To...,30/04/2016,105,7.6
902,Wano,The Yokozuna Appears! The Invincible Urashima Goes After Okiku!,07/05/2016,102,7.6
903,Wano,A Climactic Sumo Battle! Straw Hat vs. the Strongest Ever Yok...,14/05/2016,118,6.6
904,Wano,Luffy Rages! Rescue Otama from Danger!,21/05/2016,107,6.8
905,Wano,Fighting for Otama! Fight against Holdem!,28/05/2016,119,8.2
906,Wano,Duel! The Magician and the Surgeon of Death!,04/06/2016,111,8.3
907,Wano,Romance Dawn,11/06/2016,107,6.3
908,Wano,The Coming of the Treasure Ship! Luffytaro Returns the Favor!,18/06/2016,114,8.3
909,Wano,Nazo no Bohyo - Oden Joseki de no Saikai!,25/06/2016,144,8.6
910,Wano,A Legendary Samurai! The Man Who Roger Admired!,02/07/2016,123,8.4
911,Wano,Bringing Down the Emperor of the Sea! A Secret Raid Operation...,09/07/2016,108,7.9
912,Wano,The Strongest Man in the World! Shutenmaru the Thieves Briga...,16/07/2016,245,9.0
913,Wano,Everyone is Annihilated! Kaido's Furious Blast Breath!,23/07/2016,209,8.8
914,Wano,Finally Clashing! The Ferocious Luffy vs. Kaido!,30/07/2016,397,9.2
915,Wano,Hakai-teki! Ichigeki Hissatsu no Raimei Hakke!,06/08/2016,321,9.1
916,Wano,Iki-jigoku! Rufi Kutsujoku no Dai Tankutsu-jo,13/08/2016,185,8.4
917,Wano,The Holyland in Tumult! Emperor of the Sea Blackbeard Cackles!,20/08/2016,234,8.8
918,Wano,Ugokidasu - Dato Kaido Daikeikaku!,27/08/2016,121,7.9
919,Wano,Rampage! The Prisoners - Luffy and Kid!,03/09/2016,117,7.9
920,Wano,Dai Hyoban! Sanji no Ohako Soba!,10/09/2016,116,7.6
921,Wano,Goka Kenran - Wano Kuni Ichi no Bijo: Komurasaki,17/09/2016,129,6.7
922,Wano,A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!,24/09/2016,122,7.9
923,Wano,A State of Emergency! Big Mom Closes in!,01/10/2016,120,8.1
924,Wano,The Capital in an Uproar! Another Assassin Targets Sanji!,08/10/2016,170,8.8
925,Wano,Dashing! The Righteous Soba Mask!,15/10/2016,160,8.6
926,Wano,Zettai Zetsumei - Kyoi no Orochi Oniwabanshu,22/10/2016,109,7.8
927,Wano,Shura-jo! Osoreru Daija Shogun Orochi,29/10/2016,110,7.2
928,Wano,The Flower Falls! The Final Moment of the Most Beautiful Woma...,05/11/2016,112,7.2
929,Wano,The Bond Between Prisoners! Luffy and Old Man Hyo!,12/11/2016,109,7.1
930,Wano,A Lead Performer! Queen the Plague Emerges!,19/11/2016,101,7.6
931,Wano,Goes up. Luffy's Desperate Escape!,26/11/2016,97,7.2
932,Wano,Dead or Alive! Queen's Sumo Inferno!,03/12/2016,105,7.7
933,Wano,Gyukimaru! Zoro Fights a Duel on Bandit's Bridge,10/12/2016,145,8.3
934,Wano,A Big Turnover! The Three-Sword Style Overcomes Danger!,17/12/2016,297,8.9
935,Wano,Zoro Stunned! The Shocking Identity of the Mysterious Woman!,24/12/2016,104,7.8
936,Wano,Get the Hang of It! The Land of Wano's Haki - Ryuo!,31/12/2016,103,7.5
937,Wano,Tonoyasu! Ebisu's most beloved!,07/01/2017,93,7.5
938,Wano,Shaking the nation. The identity of Ushimitsu Kozo,14/01/2017,97,7.2
939,Wano,The Straw Hats are running! Save the captive Tonoyasu,21/01/2017,121,8.1
940,Wano,Zoro's Fury! The Truth About the Smile!,28/01/2017,220,8.7
941,Wano,Toko's Tears! Orochi's Pitiless Bullets!,04/02/2017,153,8.1
942,Wano,The Straw Hats Step In! An Uproarious Deadly Battle at the Ex...,11/02/2017,142,8.2
943,Wano,Luffy's Determination! Win Through the Sumo Inferno!,18/02/2017,120,8.1
944,Wano,The Coming of the Storm! Big Mom's Great Rampage!,25/02/2017,107,7.6
945,Wano,A Grudge Over Oshiruko - Luffy Gets into a Desperate Situation,04/03/2017,153,8.4
946,Wano,Stop the Emperor of the Sea! Queen's Secret Plan!,11/03/2017,111,7.3
947,Wano,The Ultimate Weapon! Excite Bullets Aimed at Luffy,18/03/2017,108,7.4
948,Wano,Start Fighting Back! Luffy and the Red Scabbard Samurai!,25/03/2017,125,7.6
949,Wano,We're Here to Win! Luffy's Desperate Scream!,01/04/2017,189,8.5
950,Wano,Warriors' Dream! Luffy's Conquer of Udon!,08/04/2017,199,8.4
951,Wano,Orochi's Pursuers! Ninja Army Corps vs. Zoro,15/04/2017,177,7.9
952,Wano,Tension Rises in Onigashima! Two Emperors of the Sea Meet?!,22/04/2017,191,8.1
953,Wano,Hiyori's Confession! Reunion on Oihagi Bridge,29/04/2017,249,8.0
954,Wano,Its Name is Enma! Oden's Meito!,06/05/2017,302,7.7
955,Wano,A New Alliance?! Kaidou's Army Gathers,13/05/2017,358,8.7
956,Wano,Ticking Down to the Great Battle! The Straw Hats Go into Comb...,20/05/2017,353,8.2
957,Wano,Big News! The Warlords Attack Incident,27/05/2017,2862,9.1
958,Wano,A Legendary Battle! Garp and Roger,03/06/2017,1348,8.5
